sample,svm_linear,svm_radial,ranger,WinRate,PickRate,Role,BanRate
3,0.48226950354609927,0.5195035460992907,0.4698581560283688,0,1,0,1
3,0.624113475177305,0.6418439716312057,0.6648936170212766,1,1,0,1
3,0.29609929078014185,0.34574468085106386,0.374113475177305,0,0,1,1
3,0.39893617021276595,0.3829787234042553,0.4166666666666667,1,0,1,1
3,0.5868794326241135,0.5868794326241135,0.6063829787234043,0,1,1,1
3,0.7340425531914894,0.7163120567375887,0.7269503546099291,1,1,1,1
4,0.31793960923623443,0.325044404973357,NA,1,0,0,0
4,0.477797513321492,0.5097690941385435,NA,0,1,0,0
4,0.6785079928952042,0.6518650088809946,0.605683836589698,1,1,0,0
4,0.261101243339254,0.261101243339254,NA,0,0,1,0
4,0.3197158081705151,0.3321492007104796,0.33037300177619894,1,0,1,0
4,0.5452930728241563,0.5577264653641207,0.5452930728241563,0,1,1,0
4,0.7353463587921847,0.7566607460035524,0.7051509769094139,1,1,1,0
4,0.30728241563055064,0.3481349911190053,NA,0,0,0,1
4,0.38543516873889877,0.4049733570159858,0.30728241563055064,1,0,0,1
4,0.5079928952042628,0.5612788632326821,0.48312611012433393,0,1,0,1
4,0.6696269982238011,0.6625222024866785,0.6625222024866785,1,1,0,1
4,0.2877442273534636,0.3747779751332149,0.3747779751332149,0,0,1,1
4,0.37122557726465366,0.43872113676731794,0.43872113676731794,1,0,1,1
4,0.5648312611012434,0.5754884547069272,0.5985790408525755,0,1,1,1
4,0.7495559502664298,0.7477797513321492,0.738898756660746,1,1,1,1
5,0.30851063829787234,0.32269503546099293,NA,1,0,0,0
5,0.4645390070921986,0.5336879432624113,NA,0,1,0,0
5,0.6631205673758865,0.650709219858156,0.6294326241134752,1,1,0,0
5,0.26063829787234044,0.26063829787234044,NA,0,0,1,0
5,0.3351063829787234,0.33687943262411346,0.3280141843971631,1,0,1,0
5,0.5815602836879432,0.5868794326241135,0.5886524822695035,0,1,1,0
5,0.7269503546099291,0.7198581560283688,0.7375886524822695,1,1,1,0
5,0.32269503546099293,0.3120567375886525,NA,0,0,0,1
5,0.38120567375886527,0.38120567375886527,0.3475177304964539,1,0,0,1
5,0.5088652482269503,0.5478723404255319,0.49822695035460995,0,1,0,1
5,0.6719858156028369,0.6773049645390071,0.6826241134751773,1,1,0,1
5,0.30851063829787234,0.34397163120567376,0.37056737588652483,0,0,1,1
5,0.4078014184397163,0.4219858156028369,0.475177304964539,1,0,1,1
5,0.5904255319148937,0.6223404255319149,0.6436170212765957,0,1,1,1
5,0.7429078014184397,0.75,0.7677304964539007,1,1,1,1
6,0.299645390070922,0.29609929078014185,NA,1,0,0,0
6,0.475177304964539,0.5390070921985816,NA,0,1,0,0
6,0.6631205673758865,0.6843971631205674,0.599290780141844,1,1,0,0
6,0.2641843971631206,0.2641843971631206,NA,0,0,1,0
6,0.2801418439716312,0.2978723404255319,0.3049645390070922,1,0,1,0
6,0.624113475177305,0.6223404255319149,0.599290780141844,0,1,1,0
6,0.7322695035460993,0.75,0.7358156028368794,1,1,1,0
6,0.29432624113475175,0.324468085106383,NA,0,0,0,1
6,0.3333333333333333,0.37056737588652483,0.38120567375886527,1,0,0,1
6,0.4804964539007092,0.5301418439716312,0.4858156028368794,0,1,0,1
6,0.6648936170212766,0.6968085106382979,0.6826241134751773,1,1,0,1
6,0.3049645390070922,0.34397163120567376,0.37943262411347517,0,0,1,1
6,0.33156028368794327,0.40425531914893614,0.43617021276595747,1,0,1,1
6,0.6152482269503546,0.6046099290780141,0.5957446808510638,0,1,1,1
6,0.7322695035460993,0.7358156028368794,0.7553191489361702,1,1,1,1
