"","winr","pbr","Tier"
"161",0.412244897959184,0.204081632653061,"S"
"162",0.412244897959184,0.224489795918367,"S"
"163",0.412244897959184,0.244897959183673,"S"
"164",0.412244897959184,0.26530612244898,"S"
"165",0.412244897959184,0.285714285714286,"S"
"166",0.412244897959184,0.306122448979592,"S"
"167",0.412244897959184,0.326530612244898,"S"
"168",0.412244897959184,0.346938775510204,"S"
"169",0.412244897959184,0.36734693877551,"God"
"170",0.412244897959184,0.387755102040816,"God"
"171",0.412244897959184,0.408163265306122,"God"
"172",0.412244897959184,0.428571428571429,"God"
"173",0.412244897959184,0.448979591836735,"God"
"174",0.412244897959184,0.469387755102041,"God"
"175",0.412244897959184,0.489795918367347,"God"
"176",0.412244897959184,0.510204081632653,"God"
"177",0.412244897959184,0.530612244897959,"God"
"178",0.412244897959184,0.551020408163265,"God"
"179",0.412244897959184,0.571428571428571,"God"
"180",0.412244897959184,0.591836734693878,"God"
"181",0.412244897959184,0.612244897959184,"God"
"182",0.412244897959184,0.63265306122449,"God"
"183",0.412244897959184,0.653061224489796,"God"
"184",0.412244897959184,0.673469387755102,"God"
"185",0.412244897959184,0.693877551020408,"God"
"186",0.412244897959184,0.714285714285714,"God"
"187",0.412244897959184,0.73469387755102,"God"
"188",0.412244897959184,0.755102040816326,"God"
"189",0.412244897959184,0.775510204081633,"God"
"190",0.412244897959184,0.795918367346939,"God"
"191",0.412244897959184,0.816326530612245,"God"
"192",0.412244897959184,0.836734693877551,"God"
"193",0.412244897959184,0.857142857142857,"God"
"194",0.412244897959184,0.877551020408163,"God"
"195",0.412244897959184,0.897959183673469,"God"
"196",0.412244897959184,0.918367346938775,"God"
"197",0.412244897959184,0.938775510204082,"God"
"198",0.412244897959184,0.959183673469388,"God"
"199",0.412244897959184,0.979591836734694,"God"
"200",0.412244897959184,1,"God"
"201",0.416326530612245,0,"C"
"202",0.416326530612245,0.0204081632653061,"D"
"203",0.416326530612245,0.0408163265306122,"B"
"204",0.416326530612245,0.0612244897959184,"B"
"205",0.416326530612245,0.0816326530612245,"A"
"206",0.416326530612245,0.102040816326531,"S"
"207",0.416326530612245,0.122448979591837,"S"
"208",0.416326530612245,0.142857142857143,"S"
"209",0.416326530612245,0.163265306122449,"S"
"210",0.416326530612245,0.183673469387755,"S"
"211",0.416326530612245,0.204081632653061,"S"
"212",0.416326530612245,0.224489795918367,"S"
"213",0.416326530612245,0.244897959183673,"S"
"214",0.416326530612245,0.26530612244898,"S"
"215",0.416326530612245,0.285714285714286,"S"
"216",0.416326530612245,0.306122448979592,"S"
"217",0.416326530612245,0.326530612244898,"S"
