"symbol","state","city.state","zip"
"DUK","NC","CHARLOTTE NC 28202-1803","28202-1803"
"DVN","OK","OKLAHOMA CITY OK 73102","73102"
"EA","CA","REDWOOD CITY CA 94065","94065"
"EBAY","CA","SAN JOSE CA 95125","95125"
"ECL","MN","SAINT PAUL MN 55102","55102"
"ED","NY","NEW YORK NY 10003","10003"
"EFX","GA","ATLANTA GA 30309","30309"
"EIX","CA","ROSEMEAD CA 91770","91770"
"EL","NY","NEW YORK NY 10153","10153"
"EMR","MO","ST LOUIS MO 63136","63136"
"EOG","TX","HOUSTON TX 77002","77002"
"EQR","IL","CHICAGO IL 60606","60606"
"ETN","L2","DUBLIN L2 DUBLIN 4","2 DUBLIN 4"
"ETR","LA","NEW ORLEANS LA 70161","70161"
"EW","CA","IRVINE CA 92614","92614"
"EXC","IL","CHICAGO IL 60680-5398","60680-5398"
"F","MI","DEARBORN MI 48126","48126"
"FAST","MN","WINONA MN 55987","55987"
"FCX","AZ","PHOENIX AZ 85004","85004"
"FDX","TN","MEMPHIS TN 38120-","38120-"
"FE","OH","AKRON OH 44308-1890","44308-1890"
"FIS","FL","JACKSONVILLE FL 32202","32202"
"FITB","OH","CINCINNATI OH 45263","45263"
"GD","VA","RESTON VA 20190","20190"
"GE","MA","BOSTON MA 02111","02111"
"GILD","CA","FOSTER CITY CA 94404","94404"
"GIS","MN","MINNEAPOLIS MN 55440","55440"
"GLW","NY","CORNING NY 14831","14831"
"GS","NY","NEW YORK NY 10282","10282"
"GWW","IL","LAKE FOREST IL 60045","60045"
"HAL","TX","HOUSTON TX 77032","77032"
"HD","GA","ATLANTA GA 30339-4024","30339-4024"
"HES","NY","NEW YORK NY 10036","10036"
"HIG","CT","HARTFORD CT 06155","06155"
"HON","NC","CHARLOTTE NC 28202","28202"
"HPQ","CA","PALO ALTO CA 94304","94304"
"HSY","PA","HERSHEY PA 17033","17033"
"HUM","KY","LOUISVILLE KY 40202","40202"
