"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"166","Shyvana","Fighter","MID","A",49.5,"2.51",0.546,0.1425,0.0019,0.0016,2.41,"13_1"
"167","Shyvana","Fighter","JUNGLE","B",43.76,"-2.08",0.4843,0.6185,0.0088,0.0016,2.51,"13_1"
"168","Shyvana","Fighter","TOP","C",40.51,"-2.3",0.5037,0.2308,0.0028,0.0016,2.13,"13_1"
"169","Singed","Tank","MID","A",52.05,"-6.53",0.5366,0.3294,0.0084,0.0045,2.93,"13_1"
"170","Singed","Tank","TOP","B",44.81,"-0.91",0.5106,0.5321,0.012,0.0045,2.09,"13_1"
"171","Sion","Tank","TOP","S",53.41,"10.97",0.5306,0.7675,0.0242,0.0017,2.23,"13_1"
"172","Sion","Tank","MID","B",47.72,"0.67",0.5405,0.1172,0.0038,0.0018,2.12,"13_1"
"173","Sivir","Marksman","ADC","D",38.52,"3.59",0.4962,0.9786,0.0422,0.0066,2.44,"13_1"
"174","Skarner","Fighter","TOP","B",45.27,"1.67",0.5161,0.29,0.0021,9e-04,2.63,"13_1"
"175","Skarner","Fighter","MID","B",44.95,"-6.74",0.4987,0.1601,9e-04,9e-04,3.19,"13_1"
"176","Skarner","Fighter","JUNGLE","B",44.04,"-4.24",0.4882,0.5352,0.0036,9e-04,2.57,"13_1"
"177","Sona","Support","SUPPORT","A",49.93,"-3.42",0.5239,0.953,0.0153,7e-04,2.62,"13_1"
"178","Soraka","Support","SUPPORT","A",52.23,"-4.52",0.5149,0.9635,0.0351,0.0027,2.71,"13_1"
"179","Swain","Mage","MID","A",49.88,"0.08",0.5128,0.3213,0.0193,0.0156,2.73,"13_1"
"180","Swain","Mage","SUPPORT","A",49.79,"-1.65",0.5089,0.5035,0.0323,0.0156,2.44,"13_1"
"181","Sylas","Mage","JUNGLE","God",90.84,"-0.97",0.5002,0.7126,0.1899,0.5639,2.54,"13_1"
"182","Sylas","Mage","MID","God",72.06,"7.18",0.4807,0.2373,0.0618,0.5639,2.11,"13_1"
"183","Syndra","Mage","MID","A",50.74,"-1.25",0.4863,0.8929,0.0483,0.0416,2.21,"13_1"
"184","Tahm Kench","Support","TOP","B",44.19,"4.5",0.4968,0.6643,0.0125,0.0028,2.4,"13_1"
"185","Tahm Kench","Support","SUPPORT","C",39.97,"-0.89",0.4817,0.2793,0.0048,0.0031,2.28,"13_1"
"186","Taliyah","Mage","JUNGLE","B",44.46,"-5.11",0.4788,0.574,0.0181,0.004,2.67,"13_1"
"187","Taliyah","Mage","MID","C",42.5,"-2.94",0.495,0.3345,0.0106,0.004,2.29,"13_1"
"188","Talon","Assassin","MID","S",59.66,"6.96",0.5078,0.7482,0.0682,0.0442,2.22,"13_1"
"189","Talon","Assassin","JUNGLE","C",42.88,"-1.66",0.4723,0.2402,0.0199,0.0427,2.45,"13_1"
"190","Taric","Support","SUPPORT","A",50.65,"2.12",0.5282,0.8622,0.012,0.0013,2.76,"13_1"
"191","Teemo","Marksman","TOP","A",48.61,"-3.42",0.5005,0.7663,0.0319,0.0515,1.7,"13_1"
"192","Thresh","Support","SUPPORT","S",55.11,"-7.39",0.4824,0.9857,0.0865,0.0153,2.52,"13_1"
"193","Tristana","Marksman","ADC","B",45.17,"6.74",0.5227,0.8214,0.0445,0.0088,2.55,"13_1"
"194","Tristana","Marksman","MID","C",42.32,"-3.7",0.5074,0.1351,0.0056,0.0088,2.07,"13_1"
"195","Trundle","Fighter","JUNGLE","C",40.15,"-3.27",0.4611,0.5913,0.0096,0.0027,2.49,"13_1"
"196","Trundle","Fighter","TOP","D",33.3,"-3.04",0.4814,0.2815,0.0043,0.0026,1.46,"13_1"
"197","Trundle","Fighter","SUPPORT","D",30.31,"-3.5",0.4283,0.1012,0.001,0.0026,2.2,"13_1"
"198","Tryndamere","Fighter","TOP","B",45.13,"-0.02",0.5127,0.7353,0.0165,0.0067,1.8,"13_1"
"199","Tryndamere","Fighter","MID","C",40.08,"-8.56",0.4974,0.1679,0.0037,0.0066,2.06,"13_1"
"200","Twisted Fate","Mage","MID","A",51.89,"7.71",0.5042,0.9273,0.0385,0.0051,2.44,"13_1"
"201","Twitch","Marksman","SUPPORT","A",48.24,"2.18",0.5097,0.5308,0.0264,0.071,2.18,"13_1"
"202","Twitch","Marksman","ADC","C",39.28,"2.6",0.5216,0.3629,0.0174,0.0573,2.52,"13_1"
"203","Udyr","Fighter","TOP","A",52.78,"10.25",0.5285,0.4092,0.0253,0.0401,2.06,"13_1"
"204","Udyr","Fighter","MID","A",49.12,"999NEW",0.5374,0.1205,0.006,0.0401,2.4,"13_1"
"205","Udyr","Fighter","JUNGLE","B",46.51,"-0.26",0.4898,0.4798,0.0257,0.0404,2.52,"13_1"
"206","Urgot","Fighter","TOP","B",44.23,"-1.52",0.5098,0.8736,0.0137,0.0015,1.92,"13_1"
"207","Varus","Marksman","ADC","S",65.11,"8.07",0.4923,0.9252,0.1631,0.065,2.45,"13_1"
"208","Vayne","Marksman","TOP","C",41.6,"0.88",0.5052,0.2715,0.015,0.0363,1.47,"13_1"
"209","Vayne","Marksman","ADC","D",33.6,"-5.8",0.4845,0.6903,0.037,0.0363,2.16,"13_1"
"210","Veigar","Mage","MID","B",43.4,"-5.19",0.4965,0.6394,0.0134,0.0029,2.28,"13_1"
"211","Veigar","Mage","SUPPORT","D",36.55,"1.43",0.4669,0.2003,0.0042,0.0025,2.05,"13_1"
"212","Vel'Koz","Mage","SUPPORT","B",46.25,"-0.06",0.5151,0.668,0.013,0.0014,2.14,"13_1"
"213","Vel'Koz","Mage","MID","B",43.43,"-4.15",0.5026,0.2557,0.0045,0.0013,2.54,"13_1"
"214","Vex","Mage","MID","S",61.44,"7.7",0.5148,0.9413,0.0628,0.1064,2.39,"13_1"
"215","Vi","Fighter","JUNGLE","A",52.95,"-0.26",0.5134,0.959,0.0501,0.0081,2.6,"13_1"
"216","Viego","Assassin","JUNGLE","A",48.36,"-1.91",0.4752,0.8458,0.0679,0.0111,2.47,"13_1"
"217","Viego","Assassin","MID","D",38.86,"-8.5",0.4797,0.1156,0.0098,0.0115,2.11,"13_1"
"218","Viktor","Mage","MID","A",50.56,"-2.16",0.4826,0.916,0.0515,0.0306,2.17,"13_1"
"219","Vladimir","Mage","MID","A",48,"2.12",0.5102,0.5116,0.0175,0.0074,2.53,"13_1"
"220","Vladimir","Mage","TOP","B",45.26,"4.16",0.5057,0.4744,0.016,0.0074,2.08,"13_1"
"221","Volibear","Fighter","JUNGLE","B",45.98,"1.89",0.4974,0.2741,0.0086,0.0047,2.56,"13_1"
"222","Volibear","Fighter","TOP","B",44.8,"-1.44",0.5041,0.6734,0.019,0.0047,1.86,"13_1"
"223","Warwick","Fighter","TOP","A",50.83,"-3.69",0.5165,0.5507,0.0298,0.0284,1.8,"13_1"
"224","Warwick","Fighter","JUNGLE","A",49.53,"-4.89",0.5065,0.4576,0.0368,0.0305,2.31,"13_1"
"225","Wukong","Fighter","JUNGLE","A",51.12,"1.88",0.5025,0.8025,0.0434,0.0051,2.76,"13_1"
"226","Wukong","Fighter","TOP","C",42.76,"-2.84",0.5064,0.1809,0.0092,0.0047,2.04,"13_1"
"227","Xayah","Marksman","ADC","A",49.48,"5.46",0.5,0.9791,0.0871,0.0137,2.57,"13_1"
"228","Xerath","Mage","SUPPORT","S",55.2,"-1.02",0.5213,0.7044,0.0495,0.0701,2.38,"13_1"
"229","Xerath","Mage","MID","B",46.78,"-3.72",0.4888,0.2438,0.0157,0.0701,3.07,"13_1"
"230","Xin Zhao","Fighter","JUNGLE","B",45.13,"0.79",0.4938,0.8208,0.0166,0.0017,2.27,"13_1"
"231","Xin Zhao","Fighter","TOP","D",35.54,"-2.39",0.4954,0.1085,0.0023,0.0018,1.54,"13_1"
"232","Yasuo","Fighter","MID","God",67.95,"11.48",0.4994,0.738,0.1053,0.0973,1.77,"13_1"
"233","Yasuo","Fighter","TOP","D",36.39,"-4.66",0.469,0.122,0.0171,0.0973,1.47,"13_1"
"234","Yasuo","Fighter","ADC","D",34.39,"1.15",0.5084,0.1241,0.0191,0.0973,2.06,"13_1"
"235","Yone","Assassin","MID","God",65.92,"9.22",0.4924,0.702,0.1068,0.0548,1.83,"13_1"
"236","Yone","Assassin","TOP","B",45.4,"-1.13",0.4709,0.256,0.0408,0.0575,1.49,"13_1"
"237","Yorick","Fighter","TOP","B",43.24,"-4.43",0.5072,0.9066,0.0182,0.0077,1.52,"13_1"
"238","Yuumi","Support","SUPPORT","S",57.63,"-32.69",0.447,0.9856,0.0933,0.1162,3.86,"13_1"
"239","Zac","Tank","JUNGLE","S",58.35,"-2.92",0.5135,0.6099,0.0641,0.0788,3.51,"13_1"
"240","Zac","Tank","TOP","S",57.08,"1.27",0.5385,0.1671,0.0208,0.0797,2.74,"13_1"
"241","Zac","Tank","MID","S",55.25,"-4.92",0.5368,0.1311,0.0163,0.0797,3.1,"13_1"
"242","Zac","Tank","SUPPORT","A",51.15,"2.79",0.5302,0.1208,0.0132,0.0797,2.7,"13_1"
"243","Zed","Assassin","MID","God",87.27,"-0.89",0.4789,0.7884,0.1106,0.4378,2.21,"13_1"
"244","Zed","Assassin","JUNGLE","C",39.47,"-9.08",0.4398,0.1654,0.0222,0.4378,2.34,"13_1"
"245","Zeri","Marksman","ADC","C",40.95,"-17.42",0.4806,0.9678,0.0675,0.0152,2.48,"13_1"
"246","Ziggs","Mage","MID","C",39.88,"-3.7",0.4858,0.3651,0.0055,9e-04,2.34,"13_1"
"247","Ziggs","Mage","SUPPORT","D",37.8,"-1.5",0.4797,0.13,0.0021,0.001,1.93,"13_1"
"248","Ziggs","Mage","ADC","D",33.06,"1",0.502,0.5269,0.0077,9e-04,2.52,"13_1"
"249","Zilean","Support","MID","A",49.26,"-7.96",0.5128,0.1536,0.0039,0.004,3.44,"13_1"
"250","Zilean","Support","SUPPORT","B",46.18,"-5.44",0.4878,0.7663,0.018,0.0039,3.04,"13_1"
"251","Zoe","Mage","MID","A",52.67,"4.66",0.4969,0.8935,0.0433,0.0265,2.55,"13_1"
"252","Zyra","Mage","SUPPORT","B",46.93,"-4.54",0.5116,0.9239,0.0218,0.0036,2.08,"13_1"
"253","Aatrox","Fighter","TOP","A",52.09,"999NEW",0.4849,0.8636,0.0465,0.0383,1.73,"13_3"
"254","Ahri","Mage","MID","S",54.6,"999NEW",0.5018,0.9175,0.0628,0.0078,2.53,"13_3"
