,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
89,Kled,Fighter,TOP,A,54.5,6.39,0.5302,0.8866,0.0235,0.0072,2.41,13_1
90,Kog'Maw,Marksman,MID,B,46.25,999NEW,0.5246,0.1124,0.0023,0.0034,2.32,13_1
91,Kog'Maw,Marksman,ADC,C,39.46,0.76,0.5388,0.8413,0.0177,0.0029,2.16,13_1
92,LeBlanc,Assassin,MID,C,41.33,-7.61,0.4588,0.8917,0.0224,0.0210,2.78,13_1
93,Lee Sin,Fighter,JUNGLE,B,46.56,-8.47,0.4567,0.9133,0.0626,0.0103,2.62,13_1
94,Leona,Tank,SUPPORT,B,47.64,-5.42,0.5004,0.9902,0.0428,0.0263,2.42,13_1
95,Lillia,Fighter,JUNGLE,B,45.02,-14.41,0.5022,0.8754,0.0242,0.0150,2.84,13_1
96,Lillia,Fighter,TOP,D,34,-9.45,0.4688,0.1147,0.0037,0.0159,1.8,13_1
97,Lissandra,Mage,MID,A,50.34,2.75,0.5086,0.9415,0.0318,0.0053,2.52,13_1
98,Lucian,Marksman,ADC,A,53.64,-1.36,0.5019,0.9527,0.1062,0.0414,2.23,13_1
99,Lulu,Support,SUPPORT,God,68.66,-3.24,0.5020,0.9738,0.0968,0.0924,3.11,13_1
100,Lux,Mage,SUPPORT,God,76.64,-7.67,0.5106,0.7126,0.1214,0.0853,2.58,13_1
101,Lux,Mage,MID,S,56.24,-4.88,0.5061,0.2648,0.0457,0.0853,3.08,13_1
102,Malphite,Tank,TOP,A,49.66,2.53,0.4958,0.7230,0.0288,0.0149,2.38,13_1
103,Malphite,Tank,MID,B,45.01,-1.06,0.5081,0.1582,0.0057,0.0146,2.51,13_1
104,Malphite,Tank,SUPPORT,D,30.07,-4.83,0.4747,0.1012,0.0042,0.0143,2.03,13_1
105,Malzahar,Mage,MID,A,53.52,1.34,0.5295,0.9287,0.0332,0.0289,2.33,13_1
106,Maokai,Tank,JUNGLE,God,96.86,46.46,0.5390,0.7891,0.1187,0.3322,2.96,13_1
107,Maokai,Tank,SUPPORT,B,45.8,-2.1,0.5052,0.1747,0.0249,0.3322,2.23,13_1
108,Master Yi,Assassin,JUNGLE,A,51.28,-21.11,0.4831,0.9307,0.0585,0.1419,2.07,13_1
109,Miss Fortune,Marksman,ADC,A,49.87,-0.58,0.5119,0.9148,0.0819,0.0233,2.22,13_1
110,Mordekaiser,Fighter,TOP,S,61.34,-9.73,0.5054,0.7100,0.0624,0.1205,1.82,13_1
111,Mordekaiser,Fighter,JUNGLE,B,45.52,-11.81,0.5103,0.2437,0.0231,0.1312,2.44,13_1
112,Morgana,Mage,SUPPORT,A,54.81,-13.36,0.4889,0.8916,0.0592,0.1475,2.57,13_1
113,Nami,Support,SUPPORT,God,95.43,-1.94,0.5129,0.9983,0.1631,0.1339,3.35,13_1
114,Nasus,Fighter,TOP,S,55.74,-0.48,0.5270,0.7511,0.0375,0.0217,1.97,13_1
115,Nasus,Fighter,MID,B,48.24,0.64,0.5308,0.1833,0.0060,0.0234,2.37,13_1
116,Nautilus,Tank,SUPPORT,S,60.88,2.36,0.5041,0.9862,0.0855,0.0573,2.35,13_1
117,Neeko,Mage,MID,B,46.73,-1.78,0.5120,0.5923,0.0137,0.0039,2.39,13_1
118,Neeko,Mage,TOP,C,38.34,999NEW,0.4909,0.1197,0.0020,0.0043,1.94,13_1
119,Neeko,Mage,SUPPORT,C,37.7,1.82,0.5118,0.2546,0.0065,0.0043,2.05,13_1
120,Nidalee,Assassin,JUNGLE,C,41.21,7.68,0.4738,0.8539,0.0278,0.0051,2.92,13_1
121,Nilah,Marksman,ADC,D,37.27,-5.97,0.5199,0.9717,0.0250,0.0380,2.17,13_1
122,Nocturne,Assassin,JUNGLE,A,49.28,0.66,0.5163,0.9613,0.0330,0.0134,2.67,13_1
123,Nunu,Tank,JUNGLE,A,53.71,12.02,0.5118,0.9194,0.0486,0.0123,2.89,13_1
124,Olaf,Fighter,TOP,S,60.67,9.69,0.5307,0.8291,0.0525,0.0345,1.89,13_1
125,Olaf,Fighter,JUNGLE,C,39.62,4.75,0.5094,0.1452,0.0079,0.0345,2.36,13_1
126,Orianna,Mage,MID,A,49.98,2.63,0.5021,0.9179,0.0309,0.0017,2.74,13_1
127,Ornn,Tank,TOP,S,60.66,6.01,0.5185,0.9407,0.0507,0.0058,2.46,13_1
128,Pantheon,Fighter,TOP,A,48.97,4.25,0.5157,0.3895,0.0202,0.0084,2.07,13_1
129,Pantheon,Fighter,MID,B,47.33,-1.52,0.5167,0.2586,0.0147,0.0090,2.29,13_1
130,Pantheon,Fighter,SUPPORT,D,32.58,-4.27,0.4742,0.2876,0.0157,0.0090,1.89,13_1
131,Poppy,Tank,TOP,C,41.23,0.72,0.4934,0.4140,0.0092,0.0030,2,13_1
132,Poppy,Tank,JUNGLE,C,37.59,6.96,0.4845,0.4819,0.0104,0.0030,2.76,13_1
133,Pyke,Support,SUPPORT,S,62.44,-7.63,0.4993,0.9599,0.0861,0.1493,2.23,13_1
134,Qiyana,Assassin,MID,B,44.02,-0.25,0.4804,0.8077,0.0326,0.0154,2.07,13_1
135,Quinn,Marksman,TOP,B,48.22,2.65,0.5271,0.8115,0.0137,0.0046,1.91,13_1
136,Quinn,Marksman,MID,B,43.56,999NEW,0.5114,0.1141,0.0018,0.0052,2.23,13_1
137,Rakan,Support,SUPPORT,S,56.31,2.46,0.5214,0.9904,0.0502,0.0023,3.08,13_1
138,Rammus,Tank,JUNGLE,B,44.81,-20.9,0.4985,0.9027,0.0203,0.0579,3.12,13_1
139,Rek'Sai,Fighter,JUNGLE,C,41.09,8.91,0.4964,0.9671,0.0202,0.0073,2.46,13_1
140,Rell,Tank,SUPPORT,B,48.5,-1.57,0.5294,0.9908,0.0255,0.0029,2.54,13_1
141,Renata Glasc,Support,SUPPORT,A,52.82,-2.66,0.5168,0.9952,0.0443,0.0168,2.82,13_1
142,Renekton,Fighter,TOP,B,47.89,-1.31,0.4826,0.8478,0.0426,0.0271,1.73,13_1
143,Renekton,Fighter,MID,C,39.73,-0.97,0.4879,0.1395,0.0072,0.0271,1.98,13_1
144,Rengar,Assassin,JUNGLE,A,50.9,-1.75,0.4924,0.8490,0.0521,0.1152,2.36,13_1
145,Rengar,Assassin,TOP,C,40.85,0.4,0.4934,0.1463,0.0093,0.0831,1.88,13_1
146,Riven,Fighter,TOP,A,51.06,-4.06,0.4928,0.9270,0.0438,0.0199,1.92,13_1
147,Rumble,Fighter,MID,B,47.62,5.42,0.5146,0.4400,0.0117,0.0024,2.59,13_1
148,Rumble,Fighter,TOP,C,37.84,0.25,0.4765,0.3879,0.0075,0.0022,2.04,13_1
149,Rumble,Fighter,JUNGLE,D,35.46,12.06,0.4843,0.1602,0.0036,0.0024,2.71,13_1
150,Ryze,Mage,MID,God,62.77,22.76,0.4964,0.8892,0.0969,0.0755,2.43,13_1
151,Samira,Marksman,ADC,God,66.33,1.89,0.5111,0.9797,0.1216,0.2177,2.26,13_1
152,Sejuani,Tank,JUNGLE,A,54.15,4.41,0.5133,0.8100,0.0422,0.0068,3.35,13_1
153,Sejuani,Tank,TOP,B,44.97,1.51,0.5013,0.1660,0.0086,0.0068,2.43,13_1
154,Senna,Marksman,SUPPORT,A,49.72,-6.58,0.4976,0.9342,0.0501,0.0140,2.58,13_1
155,Seraphine,Mage,MID,B,44.71,0.29,0.4943,0.1402,0.0089,0.0104,2.84,13_1
156,Seraphine,Mage,ADC,B,44.03,4.79,0.5335,0.3468,0.0189,0.0097,2.95,13_1
157,Seraphine,Mage,SUPPORT,C,42.3,-7.54,0.4806,0.5103,0.0355,0.0097,2.55,13_1
158,Sett,Fighter,TOP,S,57.06,-7.47,0.5055,0.8265,0.0579,0.0266,1.78,13_1
159,Shaco,Assassin,JUNGLE,S,55.99,-0.27,0.5062,0.8067,0.0539,0.1028,2.88,13_1
160,Shaco,Assassin,SUPPORT,C,40.02,1.78,0.5089,0.1488,0.0098,0.1103,2.39,13_1
161,Shen,Tank,TOP,God,67.35,4.77,0.5277,0.8768,0.0579,0.0106,2.96,13_1
162,Shyvana,Fighter,TOP,C,40.08,5.13,0.4990,0.1544,0.0026,0.0034,1.95,13_1
163,Shyvana,Fighter,JUNGLE,C,39.74,-6.48,0.4972,0.8131,0.0149,0.0029,2.46,13_1
164,Singed,Tank,MID,A,50.03,-5.93,0.5324,0.1858,0.0057,0.0062,2.75,13_1
165,Singed,Tank,TOP,B,47.04,-0.12,0.5021,0.7116,0.0244,0.0075,1.95,13_1
166,Sion,Tank,TOP,A,54.8,7.72,0.5112,0.8812,0.0525,0.0110,1.55,13_1
167,Sivir,Marksman,ADC,C,40.5,4.92,0.4983,0.9827,0.0531,0.0059,2.41,13_1
168,Skarner,Fighter,TOP,B,45.16,8.96,0.5180,0.2357,0.0024,0.0010,2.25,13_1
169,Skarner,Fighter,JUNGLE,C,41.37,3.62,0.5105,0.7598,0.0069,0.0011,2.79,13_1
170,Sona,Support,SUPPORT,S,57.28,0.66,0.5272,0.9859,0.0504,0.0027,3.04,13_1
171,Soraka,Support,SUPPORT,A,53.13,-8.99,0.5030,0.9588,0.0551,0.0178,2.78,13_1
172,Swain,Mage,MID,A,53.35,-0.89,0.5308,0.3835,0.0222,0.0307,2.79,13_1
173,Swain,Mage,SUPPORT,B,45.6,-7.93,0.5021,0.4823,0.0346,0.0336,2.37,13_1
174,Sylas,Mage,MID,S,58.92,-6.67,0.4966,0.5215,0.0784,0.1491,2.17,13_1
175,Sylas,Mage,JUNGLE,A,54.86,-16.84,0.4889,0.4190,0.0629,0.1491,2.51,13_1
176,Syndra,Mage,MID,S,61.2,1.27,0.5019,0.9287,0.0900,0.0586,2.31,13_1
177,Tahm Kench,Support,TOP,B,46.14,2.48,0.4944,0.6993,0.0188,0.0072,2.33,13_1
178,Tahm Kench,Support,SUPPORT,D,31.93,-0.95,0.4751,0.2103,0.0062,0.0072,2.3,13_1
179,Taliyah,Mage,MID,B,47.74,6.98,0.5124,0.5705,0.0180,0.0026,2.41,13_1
180,Taliyah,Mage,JUNGLE,D,36.22,5.8,0.4829,0.2989,0.0091,0.0026,2.6,13_1
181,Talon,Assassin,MID,B,46.3,0.08,0.4937,0.6413,0.0298,0.0078,2.24,13_1
182,Talon,Assassin,JUNGLE,D,36.71,2.21,0.4778,0.3103,0.0163,0.0078,2.46,13_1
183,Taric,Support,SUPPORT,C,41.81,-3.04,0.4986,0.9039,0.0196,0.0026,2.69,13_1
184,Teemo,Marksman,TOP,B,47.9,-6.72,0.4989,0.7763,0.0320,0.0512,1.65,13_1
185,Thresh,Support,SUPPORT,S,61.15,-3.89,0.5061,0.9865,0.0824,0.0166,2.73,13_1
186,Tristana,Marksman,ADC,A,53.84,-1.88,0.5181,0.7557,0.0867,0.0410,2.41,13_1
187,Tristana,Marksman,MID,A,49.63,3.85,0.5230,0.2204,0.0223,0.0410,2.21,13_1
188,Trundle,Fighter,JUNGLE,D,35.73,-5.67,0.4723,0.7240,0.0139,0.0085,2.61,13_1
189,Trundle,Fighter,TOP,D,34.34,-3.95,0.4771,0.2185,0.0043,0.0091,1.56,13_1
190,Tryndamere,Fighter,MID,A,49.41,2.63,0.5364,0.2386,0.0092,0.0313,2.26,13_1
191,Tryndamere,Fighter,TOP,B,43.53,-8.22,0.4772,0.7284,0.0301,0.0313,1.8,13_1
192,Twisted Fate,Mage,MID,B,47.14,6.49,0.4986,0.9291,0.0260,0.0011,2.43,13_1
193,Twitch,Marksman,ADC,A,51.76,-2.52,0.5144,0.6485,0.0755,0.1295,2.38,13_1
194,Twitch,Marksman,SUPPORT,D,36.23,-6.26,0.4728,0.2374,0.0246,0.1295,2,13_1
195,Udyr,Fighter,JUNGLE,God,69.34,-16.99,0.5246,0.8811,0.0700,0.2818,2.82,13_1
196,Udyr,Fighter,TOP,C,42.13,999NEW,0.4980,0.1205,0.0098,0.2665,1.78,13_1
