"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"96","Kog'Maw","Marksman","ADC","D",32.56,"-2.03",0.4935,0.8327,0.0181,0.0035,2.15,"13_1"
"97","LeBlanc","Assassin","MID","B",43.98,"-2.71",0.4714,0.9113,0.0227,0.0224,2.83,"13_1"
"98","Lee Sin","Fighter","JUNGLE","A",48.49,"-8.28",0.4648,0.8945,0.0579,0.0104,2.68,"13_1"
"99","Leona","Tank","SUPPORT","A",50.02,"-3.33",0.5157,0.9814,0.0416,0.0265,2.41,"13_1"
"100","Lillia","Fighter","JUNGLE","B",44.03,"-18.73",0.4923,0.834,0.0279,0.0181,2.81,"13_1"
"101","Lillia","Fighter","TOP","C",40.8,"-3.04",0.4944,0.1356,0.005,0.0196,1.96,"13_1"
"102","Lissandra","Mage","MID","A",49.69,"5.56",0.4921,0.9258,0.0349,0.0058,2.52,"13_1"
"103","Lucian","Marksman","ADC","A",53.28,"-2.71",0.4959,0.9291,0.0942,0.0461,2.26,"13_1"
"104","Lulu","Support","SUPPORT","God",68.2,"1.79",0.5016,0.9771,0.0818,0.0478,3.11,"13_1"
"105","Lux","Mage","SUPPORT","God",92.63,"5.78",0.511,0.7067,0.1263,0.1134,2.6,"13_1"
"106","Lux","Mage","MID","S",57.33,"-4.99",0.4877,0.256,0.0472,0.1134,3.05,"13_1"
"107","Malphite","Tank","MID","B",47.54,"-0.54",0.5277,0.1557,0.0063,0.0188,2.62,"13_1"
"108","Malphite","Tank","TOP","B",47.32,"-4.67",0.4807,0.7205,0.0293,0.0188,2.36,"13_1"
"109","Malzahar","Mage","MID","A",48.25,"-7.33",0.479,0.9215,0.04,0.0404,2.22,"13_1"
"110","Maokai","Tank","JUNGLE","God",96.87,"52.16",0.5346,0.7175,0.1032,0.3212,2.94,"13_1"
"111","Maokai","Tank","SUPPORT","A",51.13,"0.97",0.5147,0.2406,0.0318,0.3212,2.3,"13_1"
"112","Master Yi","Assassin","JUNGLE","A",54.95,"-17.21",0.4943,0.9532,0.0551,0.1503,2.12,"13_1"
"113","Miss Fortune","Marksman","ADC","A",52.05,"-3.72",0.5,0.8921,0.0869,0.0278,2.26,"13_1"
"114","Mordekaiser","Fighter","TOP","S",64.76,"-13.35",0.5116,0.6755,0.0661,0.1631,1.92,"13_1"
"115","Mordekaiser","Fighter","JUNGLE","B",46.34,"-31.39",0.4989,0.2548,0.0293,0.1797,2.4,"13_1"
"116","Morgana","Mage","SUPPORT","S",64.3,"-5.04",0.5109,0.8252,0.0617,0.1646,2.59,"13_1"
"117","Morgana","Mage","MID","B",44.61,"999NEW",0.5048,0.1077,0.0057,0.1794,2.78,"13_1"
"118","Nami","Support","SUPPORT","God",93.62,"9.61",0.5193,0.9972,0.1304,0.0454,3.32,"13_1"
"119","Nasus","Fighter","TOP","A",55.49,"-1.62",0.5117,0.7682,0.0457,0.0363,1.94,"13_1"
"120","Nasus","Fighter","MID","B",45.74,"-3.29",0.5227,0.1433,0.0067,0.0395,2.36,"13_1"
"121","Nautilus","Tank","SUPPORT","S",62.87,"5.45",0.5043,0.9764,0.0768,0.0578,2.33,"13_1"
"122","Neeko","Mage","MID","A",49.29,"-1.38",0.5226,0.5088,0.017,0.0052,2.48,"13_1"
"123","Neeko","Mage","TOP","C",40.69,"-3.12",0.4974,0.1256,0.0032,0.0052,1.94,"13_1"
"124","Neeko","Mage","SUPPORT","D",34.91,"-7.68",0.5135,0.3026,0.0093,0.0052,2.21,"13_1"
"125","Nidalee","Assassin","JUNGLE","C",39.83,"10.35",0.4714,0.7658,0.027,0.005,2.85,"13_1"
"126","Nidalee","Assassin","TOP","C",36.16,"999NEW",0.4678,0.1263,0.0032,0.0045,2.07,"13_1"
"127","Nilah","Marksman","ADC","C",40.82,"-11.69",0.515,0.9657,0.0313,0.0495,2.15,"13_1"
